12,16
79,91
19,22
21,29
34,46
37,45
4,11
8,13
142,150
9,24
3,20
9,14
28,44
18,30
22,38
17,45
84,96
4,13
138,143
11,20
42,51
40,49
48,66
29,35
12,20
44,54
31,51
30,50
43,48
0,4
27,31
5,10
47,75
19,25
39,46
27,35
35,43
4,12
25,28
78,88
31,40
28,38
0,10
59,65
19,26
26,38
11,17
218,228
36,39
27,42
20,29
60,76
71,78
142,162
83,99
73,94
8,11
62,69
38,44
8,26
49,56
12,17
28,36
42,45
4,12
48,56
5,17
39,43
43,46
71,78
18,23
110,125
17,23
104,111
10,21
80,96
3,8
19,26
4,16
4,13
95,106
14,26
20,34
3,7
27,33
103,109
59,66
37,44
4,9
61,68
49,55
40,45
88,95
23,31
45,62
46,53
167,172
60,68
30,42
71,79
14,19
111,119
46,52
17,22
73,76
106,114
68,72
49,56
4,12
145,150
26,31
66,70
37,45
102,116
135,143
16,19
44,54
6,9
58,71
141,145
53,67
101,111
15,21
147,151
116,123
6,18
27,32
0,7
24,41
144,148
106,117
78,82
36,54
31,36
93,99
126,134
23,30
114,125
20,26
56,64
98,102
34,52
5,23
99,115
24,34
75,83
29,34
16,18
24,37
46,56
11,22
48,53
43,52
44,52
24,31
13,31
62,69
24,26
58,65
31,54
0,13
132,140
0,4
22,26
10,17
74,83
94,100
16,24
29,40
131,147
45,54
16,31
61,69
27,48
26,34
72,82
43,59
80,88
43,50
70,74
44,59
4,20
10,15
13,21
111,122
34,48
26,35
6,13
4,14
10,15
4,9
48,55
4,35
12,20
88,93
28,34
22,35
18,23
14,21
29,41
4,14
145,159
36,44
50,66
16,22
42,51
21,26
33,44
23,39
31,36
4,6
16,35
277,280
68,73
57,63
46,53
41,56
5,13
21,27
74,81
56,62
142,148
85,90
21,28
25,32
132,155
133,143
75,85
62,70
52,56
33,43
59,64
5,11
37,44
8,12
26,34
4,13
140,170
30,49
8,19
65,75
7,12
12,15
20,28
38,55
63,76
32,48
72,80
4,12
41,52
22,33
12,18
49,63
240,254
149,156
30,33
46,70
14,17
63,70
10,19
27,41
36,43
34,43
46,55
31,56
18,52
62,72
15,19
47,56
58,70
53,66
146,154
12,27
94,102
63,79
4,9
0,12
4,16
98,105
4,10
16,25
28,42
18,24
98,112
44,48
4,6
82,90
73,95
44,52
8,13
67,80
82,88
30,37
76,88
63,75
29,37
23,30
36,42
14,21
5,16
57,66
4,16
70,77
56,63
17,23
15,31
67,72
99,111
25,29
50,56
56,68
4,14
51,67
77,82
17,29
4,12
5,12
21,35
10,17
23,26
44,60
72,81
20,30
125,136
95,108
0,8
4,9
54,65
132,134
47,52
60,64
186,221
76,84
83,99
29,36
113,120
4,14
16,22
24,32
60,65
26,32
55,75
5,13
41,64
143,150
16,25
27,35
0,10
45,47
4,12
36,54
11,25
55,62
31,35
40,56
30,41
4,10
27,41
8,19
40,49
30,44
23,30
38,54
5,17
27,33
4,16
95,106
4,10
30,38
20,28
74,86
16,27
93,105
80,86
28,36
51,67
313,318
81,90
68,73
4,11
19,41
80,86
125,129
50,56
69,79
83,90
4,10
23,39
96,110
0,3
46,53
27,35
125,131
98,103
